Min_Hash_Sketch_INTEGER_Id,ESTIMATED_ORIGINAL_SET_SIZE
0,576195548.2307711
1,542792907.6956549
2,570345847.2233516
3,511649052.2786905
4,572671416.431195
5,550775156.352943
6,584589656.127994
7,543843813.6176202
8,542268976.3166037
9,544898796.7691579
10,375027142.1909228
11,355788891.02026737
12,377040710.7449679
13,372046794.0331142
14,356014359.2661609
15,382952051.14724064
16,392311912.7569852
17,380616977.6585381
18,377547485.89516276
19,362445586.4193562
20,270481780.65623575
21,280334659.9281447
22,259248111.82879642
23,284019544.2477258
24,276744166.7339909
25,290181125.2913229
26,272978939.9620996
27,288541683.8998467
28,283446346.3763884
29,279081300.78837633
30,231094470.61661935
31,228370186.19512257
32,211120126.95941442
33,232914866.5373142
34,221701127.8476721
35,242360076.86885288
36,228092025.1875767
37,224806185.67467028
38,214833903.5889104
39,221701127.84767222
40,106359457.6330935
41,109106749.92250927
42,112403092.33733504
43,109489506.01617624
44,114697969.70232749
45,118321536.59477665
46,110850563.42383583
47,105858423.81628034
48,125259901.00668913
49,111621429.65765943
